Crop,State,Cost of Cultivation (`/Hectare) A2+FL,Cost,Price,Yield,Revenue,Profit,Profit_Percentage
ARHAR,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,19085.4365,-3991.303500000002,-17.29578571323333
ARHAR,Karnataka,10593.15,16528.68,2172.46,7.47,16228.2762,-300.40380000000005,-1.8174699976041646
ARHAR,Gujarat,13468.82,19551.9,1898.3,9.59,18204.697,-1347.2030000000013,-6.890394283931492
ARHAR,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,23564.8668,-606.7832000000017,-2.5103093913737857
ARHAR,Maharashtra,17130.55,25270.26,2775.8,8.72,24204.976000000002,-1065.283999999996,-4.215564066218535
COTTON,Maharashtra,23711.44,33116.82,2539.47,12.69,32225.874299999996,-890.9457000000039,-2.6903117509471137
COTTON,Punjab,29047.1,50828.83,2003.76,24.39,48871.7064,-1957.123599999999,-3.850420322482337
COTTON,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,44753.12169999999,-3.5983000000123866,-0.008039686554359628
COTTON,Gujarat,29616.09,42070.44,2179.26,19.05,41514.903000000006,-555.5369999999966,-1.3204924883124507
COTTON,Haryana,29918.97,44018.18,2127.35,19.9,42334.26499999999,-1683.9150000000081,-3.8254989188558186
GRAM,Rajasthan,8552.69,12610.85,1691.66,6.83,11554.0378,-1056.8122000000003,-8.380182144740445
GRAM,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,15969.462599999999,-903.7073999999993,-5.355883926968077
GRAM,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,20577.6924,-1040.7376000000004,-4.814122024587356
GRAM,Maharashtra,12985.95,18679.33,2277.68,8.05,18335.324,-344.0060000000012,-1.8416399303401203
GRAM,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,26020.3776,-741.7124000000003,-2.7715040193049214
GROUNDNUT,Karnataka,13647.1,17314.2,3484.01,4.71,16409.6871,-904.5129000000015,-5.2241102678726214
GROUNDNUT,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,30582.2727,147.66270000000077,0.48518019452196287
GROUNDNUT,Tamil Nadu,22507.86,30393.66,2358.0,11.98,28248.84,-2144.8199999999997,-7.05680066171695
GROUNDNUT,Gujarat,22951.28,30114.45,1918.92,13.45,25809.474,-4304.976000000002,-14.295383113422302
GROUNDNUT,Maharashtra,26078.66,32683.46,3207.35,9.33,29924.5755,-2758.8845,-8.441225317025799
MAIZE,Bihar,13513.92,19857.7,404.43,42.95,17370.268500000002,-2487.431499999999,-12.526281996404412
MAIZE,Karnataka,13792.85,20671.54,581.69,31.1,18090.559,-2580.9809999999998,-12.485673539562121
MAIZE,Rajasthan,14421.46,19810.29,658.77,23.56,15520.6212,-4289.668800000001,-21.653740556044365
MAIZE,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,19006.832,-2038.278000000002,-9.685280808700938
MAIZE,Andhra Pradesh,25687.09,37801.85,840.58,42.68,35875.9544,-1925.8955999999962,-5.0947125603640995
MOONG,Orissa,5483.54,8266.98,2614.14,3.01,7868.561399999999,-398.4186000000009,-4.819397168010578
MOONG,Rajasthan,6204.23,9165.59,2068.67,4.05,8378.1135,-787.4765000000007,-8.591661857010848
MOONG,Karnataka,6440.64,7868.64,5777.48,1.32,7626.2735999999995,-242.3664000000008,-3.0801561642164437
MOONG,Andhra Pradesh,6684.18,13209.32,2228.97,5.9,13150.922999999999,-58.397000000000844,-0.44208937326070413
MOONG,Maharashtra,10780.76,15371.45,2261.24,6.7,15150.307999999999,-221.14200000000164,-1.4386541282702778
PADDY,Uttar Pradesh,17022.0,28144.5,732.62,36.61,26821.2182,-1323.2818000000007,-4.701742081046032
PADDY,Orissa,17478.05,25909.05,715.04,32.42,23181.5968,-2727.4532,-10.527028972501887
PADDY,West Bengal,24731.06,33046.12,731.25,39.04,28548.0,-4498.120000000003,-13.611643363880546
PADDY,Punjab,25154.75,45291.24,669.86,67.41,45155.2626,-135.97739999999612,-0.30022891843984867
PADDY,Andhra Pradesh,29664.84,46450.2,789.9,56.0,44234.4,-2215.7999999999956,-4.770270095715403
RAPESEED AND MUSTARD,Madhya Pradesh,8686.43,17705.93,1279.6,12.94,16558.023999999998,-1147.9060000000027,-6.483172586811327
RAPESEED AND MUSTARD,Rajasthan,11385.7,19259.84,1341.29,13.54,18161.0666,-1098.7734000000019,-5.704997549304677
RAPESEED AND MUSTARD,Uttar Pradesh,12774.41,22560.3,1595.56,13.57,21651.7492,-908.5508000000009,-4.027210631064308
RAPESEED AND MUSTARD,Gujarat,13740.64,19083.55,1610.4,11.61,18696.744,-386.8060000000005,-2.0269079914376547
RAPESEED AND MUSTARD,Haryana,14715.27,27507.54,1251.12,19.94,24947.3328,-2560.2072000000007,-9.307292473263697
SUGARCANE,Uttar Pradesh,24538.32,45239.51,93.64,448.89,42034.0596,-3205.4504000000015,-7.085510873128381
SUGARCANE,Karnataka,55655.44,86765.77,86.53,986.21,85336.7513,-1429.0187000000005,-1.6469844041031394
SUGARCANE,Andhra Pradesh,56621.16,91442.63,119.72,757.92,90738.18239999999,-704.4476000000141,-0.7703711059054339
SUGARCANE,Maharashtra,57673.6,85801.95,107.56,744.01,80025.7156,-5776.234400000001,-6.73205492415965
SUGARCANE,Tamil Nadu,66335.06,89025.27,85.79,1015.45,87115.45550000001,-1909.8144999999931,-2.1452498824210173
WHEAT,Madhya Pradesh,12464.4,22489.75,810.25,23.59,19113.7975,-3375.9524999999994,-15.011071710445867
WHEAT,Punjab,17945.58,35423.48,804.8,39.83,32055.183999999997,-3368.2960000000057,-9.508653582313215
WHEAT,Uttar Pradesh,18979.38,31902.74,769.84,34.99,26936.701600000004,-4966.038399999998,-15.56618146278344
WHEAT,Rajasthan,19119.08,29876.36,683.58,37.19,25422.3402,-4454.019800000002,-14.908174222027053
